name,rank,country,description
Shiraz University of Technology,501–600,Iran,"The Shiraz University of Technology was established in Iran’s fifth largest city, the economic centre of its southern region, in 1968 as a monotechnic electronics industry university. Raised to full university status and given its current name as the second university in the Fars province in 2004, it has steadily grown and diversified from those beginnings to become the region’s first technological university, with a wide range of industrial links.

Nowadays its 45-acre campus in the south of the city accommodates departments of chemistry, oil and gas engineering, computer engineering and information technology, materials science, civil and environmental engineering, mechanics and aerospace, physics, chemistry and mathematics as well as the founding electrical and electronic engineering department. Innovations in 2017 included the creation of an Internet of Things laboratory.

Yet it remains a comparatively small and specialised institution, growing from 25 academic staff in 2004 to reach 100, teaching around 1,500 students, in 2018. Research activity has similarly grown from minimal levels in 2004 to the publication of more than 200 journal articles in 2016.

Electronics and engineering remains the largest department, accounting for around one third of the academic staff, who teach three of the five undergraduate programmes, seven of the 31 masters courses and five of the 14 doctoral programmes offered by the institution. Among its staff is Taher Nikhnam, named in 2016 as one of the six most productive scientists in Iran on the basis of the publication of around 150 papers over the previous 10 years, and listed among the top seven the following year."
"Soochow University, China",501–600,China,"Soochow University : A place where dreams startSoochow University was founded in1900. It is one of theoldestmodern institutions of high learning in China. Through the persistent endeavor and exploration of several generations during the past century, Soochow University has now grown into ahigh level universityin China withcomplete coverage of disciplines, remarkably large enrollment, solid foundation, outstanding educational achievements and fairly high reputation both at home and abroad. It is now a top comprehensive university ofJiangsu Provinceas well as amember university of the national “211 Project” and “2011 Plan” in China.

Soochow University has always been concentrating onproviding high quality education. We devote every effort to help our students enrich their knowledge, train their professional skill, maximize their talents and realize their ideals and dreams. At the same time, Soochow University is also deeply committed to academic and scientific research. Our creative, interdisciplinary and international approach to research has led to many fundamental discoveries and technological breakthroughs.

Located in the historical and cultural city ofSuzhouand close to the metropolitan city ofShanghai, Soochow University is also known for itsvigorous international collaboration and exchanges. With academic links and cooperation with more than200 universities around the world, the university is dedicated to attracting the best-and the brightest, nurturing them to become a full grown man.

Welcome to Soochow University, a place where dreams start. For more information about the university, please visit:http://eng.suda.edu.cn.

Soochow University at a Glance

A key comprehensive provincial university in Jiangsu Province

Number of Students:

Undergraduate students:  27,824

Postgraduate students:14,533

Doctoral students:  4,678

International students:  2,097

University Area:4 campuses, 755.48 acres

Tian Ci Zhuang Campus (Main Campus)

Dushu Lake Campus

Yangcheng lake Campus

Future Campus

(Statistics by July, 2021)"
Stevens Institute of Technology,501–600,United States,"The Stevens Institute of Technology (SIT), located in Hoboken in the state of New Jersey in the United States, was established in 1870 and is named after the Stevens family, known as ""America’s First Family of Inventors"".

The institution was established thanks to Edwin A. Steven’s decision to leave enough in his will to finance the establishment of a university.

SIT has four academic schools: the School of Business, the School of Systems & Enterprises, the College of Arts and Letters and the Charles V. Schaefer Jr. School of Engineering and Science.

All schools are located on the Hoboken campus, along with several halls of residence, restaurants and sports facilities. The small city of Hoboken provides a comfortable learning environment while the bright lights of New York are only a short journey away.

As well as a host of research institutes, SIT also maintains three national research Centres of Excellence. The Maritime Security Centre investigates port and maritime security, while the Systems Engineering Research Centre is affiliated with the US Department of Defence. The final Centre of Excellence is the Atlantic Centre for the Innovative Design and Control of Small Ships, which combines engineering disciplines and shipbuilding.

Some hugely influential people have studied at SIT over the years. Co-founder of General Motors, Charles Stewart Mott, graduated from SIT in 1897, while Alfred Fielding, co-inventor of bubble wrap, also studied there.

Frederick Reines, who was awarded the Nobel Prize for Physics in 1995 received a bachelor’s and master’s degree from SIT."
Sultan Qaboos University,501–600,Oman,"Sultan Qaboos University opened in Muscat, the capital of Oman, in 1986, when there were only 500 students. There are now more than 7,000. It is situated in a valley beneath the Oman Mountains and is the only public university in the country.

The institution originally had five colleges, but there are now nine in total. These include medicine, engineering, agriculture, education, science, arts, commerce and economics, law and nursing.

The buildings on the campus are made from white and pink sandstone and have been constructed on an axis with one end pointing towards Mecca. There is a university mosque while nearly all of the buildings include a prayer room. There is separate access to buildings for men and women, as well as segregated seating in the classrooms.

There are also two sports complexes - one for male students and one for female students. Each one includes football pitches, athletics fields, outdoor stadiums, volleyball playgrounds, indoor sports halls, a swimming pool, and squash courts.

But the city of Muscat itself, which is flanked by mountains and the Persian Gulf, also has much to offer, including the Mutrah Souk, large parks, shopping centres, beaches and sand dunes.

Between 2010 and 2015, the university recruited students from 38 countries, while academics hailed from 69 nations. The institution also collaborates with universities across the world; it has agreements with universities in Asia, Europe, Australasia, North America and South America.

The university has seven core values. These are: professionalism, excellence, commitment, integrity, loyalty, collaboration and equity."
Tashkent Institute of Irrigation and Agricultural Mechanisation,501–600,Uzbekistan,"The Tashkent Institute of Irrigation and Agricultural Mechanisation Engineers was founded in 1923 and has since been through a range of name and role changes. It has operated under its current name since 2017.

The university offers courses in in engineering (irrigation, water resources, environment, electrification and automation, agricultural mechanisation), land management and agricultural economics, and management and marketing.

There are seven divisions which include hydromelioration; hydrothechnical construction; agricultural mechanisation; mechanisation of hydromeliorative works; energy supply of agriculture and water resources; land management resources; organisation and management of water resources). These seven divisions cover 36 separate departments.

Degree programmes now offered across 19 bachelor of science programmes, 16 master of science programmes and 13 PhD programmes.

It aims to be ""a first-class regionally recognised academic and research institution known for its top programmes in engineering, land management and industrial economics"".

The student's town was established in 1987 and is home to many facilities including the student dormitories.

Its alumni have played significant national roles since independence. Shavkat Mirzoyeyev, who studied agricultural mechanisation from 1976 to 1981, was prime minister from 2003 to 2016 and has been president since 2016. His leading lieutenants included Rustam Azimov, minister of finance from 1998 to 2000 and from 2005 to 2016 and deputy prime minister from 2005 to 2017.

The university is located in the Uzbek capital of Tashkent which is among the hubs of Central Asia and a historic Silk Road junction. The university underwent significant change post-independence, in particular expanding Uzbek teaching and translating course literature into the national language. Courses are offered in Uzbek, Russian and English."
Tehran University of Medical Sciences,501–600,Iran,"The School of Medical Sciences was originally founded as part of the University of Tehran in 1931, and after greatly expanding over the decades was split off as the independent Tehran University of Medical Sciences in 1986.

Since its founding TUMS has been regarded as a premier medical institution for higher learning and research in Iran. TUMS was founded with schools ranging from dentistry to the nursing and Midwifery, both of which continue to be considered within in Iran as the oldest and most renowned learning centres in their field.

The Hematology-Oncology and Stem Cell Transplantation Research Centre was completed in 1990, and is situated in a modern architectural building in downtown Tehran. As well as its research centres, TUMS is also affiliated with a number of active hospitals across Tehran and the whole of Iran, including Bahraini Children’s Hospital and Moheb Yas Women’s General Hospital.

The institution has sought to build alliances with overseas institutions. In 2016, delegates from the University of Indiana visited the TUMS Comprehensive Research Laboratory, and academics from TUMS signed a contract of research collaboration with Universiti Malaysia Sarawak.

As part of this outreach, TUMS has had an established International Campus in Tehran since 2006, welcoming international students and offering assistance through an Office of Consular Affairs.

Notable alumni include Mohammad Gharib, a key figure in the establishment of paediatrics in Iran, and Bagher Larijani, known for his studies in diabetes and osteoporosis, as well as holding the position of deputy minister for medical education in Iran."
The University of Tulsa,501–600,United States,"The University of Tulsa (TU), which grew out of Henry Kendall College, dates back to before Oklahoma became a state.

Nowadays it is a leading private research institution, with a focus on liberal arts, sciences and engineering disciplines.

Overall, 84 per cent of students receive some financial assistance, and more than 90 per cent of all first year students continue onto their second year.

The school is nonetheless fairly selective; almost three quarters of freshmen are in the top 10 per cent of their high school class.

Campus is spread over 200 acres and is home to a diverse population of students representing 73 countries around the world. A variety of multicultural organisations and committees which organise food stands, festivals, lectures and social events.

The university offers many community engagement programmes to foster relationships between students and locals and address community issues. A unique agreement allows TU to manage the Gilcrease Museum in the city, which contains a huge collection of American Western art and The Bob Dylan Archive.

Many colleges are leading the way with innovative research, including Kendall College of Arts and Sciences which supports psychology research into sleep and pain tolerance; Oxley College of Health Sciences where researchers explore concussion effects among footballers; Collins College of Business which teaches energy management courses; the College of Law which offers renowned programmes in both Native American Law and sustainable energy law, and the College of Engineering and Natural Sciences where students can train to prevent cyber-attacks.

Like many old institutions, the university has its unique traditions, including bell-ringing when students complete their final exam and a homecoming bonfire."
TU Dortmund University,501–600,Germany,"Founded in 1968, Technical University Dortmund (TU) is situated in the Ruhr region of Germany. It was established at a time of decline in the country’s coal and steel industry and its emergence coincided with an economic shift away from heavy industry and towards technology.

Today, TU is known for its innovation in physics, electrical engineering, chemistry and economics. The university comprises 16 faculties across academic disciplines ranging from science and engineering to social sciences and culture studies. It has an endowment of around €161 million.

The university also boasts a Centre for Teacher Training, four central scientific institutions, seven associated research institutes and five affiliated institutes, including the German Institute for Civic Art. The Mathetower (Mathematics Tower), home to the university’s Faculty of Mathematics, is one of its most prominent buildings.

There are close to 33,000 students enrolled at TU, a figure which includes an international intake of around 11 per cent. Academic staff total more than 6,000 with300 professors among them.

The university is organised across two campuses, the North and South campuses, located a couple of miles from downtown Dortmund. Since 1984, they have been linked by an automated hanging monorail system known as the H-Bahn that crosses the area’s pastoral surroundings at a height of about 50 feet.

TU has many links with international universities as well as a number from within Europe, operating through the Erasmus programme. These include Newcastle University, Liverpool John Moores University and Dublin City University, as well as others in countries such as Italy, Sweden, Hungary, Holland, Turkey and the Czech Republic.

It is also a member of the China-NRW University Alliance, a strategic alliance between the top six universities in the North Rhine-Westphalia region of Germany (the country's most populous state) with higher education institutions in China.

In 2006, TU hosted the 11th RoboWorld Cup and has its own robot team known as the Dortmund Droids."
UEH University,501–600,Vietnam,"Established in 1976, the University of Economics Ho Chi Minh City (UEH) has become a fully autonomous institution since 2014. It comprises three member colleges: College of Business (COB), College of Economics, Law and Government (CELG), and College of Technology and Design (CTD).

As one of Vietnam's 19 key national universities, UEH offers comprehensive undergraduate and postgraduate programs across various disciplines. With 13 campuses equipped with state-of-the-art facilities, UEH is renowned for its high-impact research culture and extensive academic collaborations with nearly 100 universities worldwide, further enhancing its global reach and impact.

With a learner-centric approach and an emphasis on liberal education, UEH cultivates global leaders. Committed to internationalization, UEH aims to maintain its position as a top research-oriented university in Southeast Asia."
Université du Québec,501–600,Canada,"The Université du Québec is a system of 10 public universities in Quebec, Canada, with the main headquarters in Quebec City.

The system was established in 1968 by the national assembly of Quebec largely in response to widespread student protests that had broken out that year around the lack of French-language universities.

The network of universities was modelled on the American University systems that already existed at the time.

It coordinates 300 programmes for over 87,000 students.

Université du Québec was first ranked by THE in the 2018 World University Rankings. Prior to this, one of the institutions that formed part of the Université du Québec system, Université du Québec à Montréal, was ranked as a separate insititution."
Universiti Putra Malaysia,501–600,Malaysia,"Universiti Putra Malaysia (UPM) has roots dating back to 1931 when it was first established as the School of Agriculture. Despite a series of name changes over the years, it has maintained a focus on agriculture while also becoming a prominent research university.

Today, UPM is made up of 16 faculties, 16 centres, nine institutes, one school, and one academy. Within each faculty are a number of individual departments, spread across two campuses. The main campus, covering over 1,000 hectares of land, is situated in the town of Serdang with a branch campus, set within 700 hectares, is located in Bintulu, a coastal town in Borneo.

In total, around 24,000 students attend UPM including approximately 4,500 international students. Just over half of the student body is made up of undergraduates, with around 10,000 studying at postgraduate level. Each year, UPM accepts around 1,300 inbound exchange students, sending about the same to study overseas.

Campus life at UPM is extensive and there is much more to life at the university beyond the lecture theatre. There are 17 colleges for accommodation, a range of associations and clubs, including many arts and cultural clubs.

In terms of sport facilities, there is a gym, sports hall, outdoor swimming pool, a football pitch with under soil drainage, a multi-purpose Astroturf pitch, tennis courts, a floodlit athletics park, a football stadium and an 18-hole golf course.

Through the Memorandum of Understanding and Memorandum of Agreement, UPM has a number of partnerships with universities around the globe. These links cover mobility programmes, staff and student exchanges, research collaborations, commercialised activities and technology transfer.

A number of joint degree programmes are offered in collaboration with other universities and UPM awards some PhDs in conjunction with the UK’s universities of Sheffield and Nottingham.

UPM’s motto is: ‘with knowledge we serve.’"
University of Bradford,501–600,United Kingdom,"The University of Bradford officially became a university in 1966, but can trace its origins back to the establishment of the industrial West Yorkshire town’s Mechanics Institute in 1832.

Students from some 150 countries study at the university, and about a third of its undergraduates are mature students.

The University of Bradford was the first higher education institution in the UK to open a modern business school and the first outside London to offer part-time degrees.

It was also the first British university to open a Department of Peace Studies, in 1973, and Bradford now boasts the largest higher education centre for the study of conflict resolution and peace in the world.

The institution’s first chancellor Harold WIlson, a former UK prime minister, said of the university: ""You can be confident of your university developing in the future with the same dynamism as has been shown in the past – educating men and women who receive education and training relevant to the needs of our changing society.""

To this day, the University of Bradford aims to develop courses and curricula that reflect the requirements of the modern world. It has partner institutions in countries across the world, including the Philippines, India, Tanzania and Hong Kong.

The university is undergoing an £84 million redevelopment programme, which will include a new dedicated student area to be known as Student Central, featuring study spaces, bars and other social areas.

Former Bradford students include mobile telecommunications entrepreneur Mo Ibrahim; poet John Hegley; and former UK government minister Ann Taylor."
University of Catania,501–600,Italy,"Sicily’s University of Catania is the oldest university on the island of Sicily, and is among the oldest universities in the world. It was founded in 1444 with four faculties: canonic and civil law, theology and arts, medicine and philosophy. Just ten students attended in the university’s first year.

Now, the university has thousands of students in some 18 departments, ranging from agricultural science to politics. It retains its location in the historic Piazza Università, but also has several state of the art facilities in the modern “university town” district of Catania.

The university offers undergraduate degrees in English in agricultural science, arts, law, engineering and political science.

The university has a strong commitment to the European Union’s ideal of researcher mobility, and its staff roster boasts a high number of eminent international researchers from across the continent.

Catania is acclaimed for its scientific research. Notably, the university carries out research into astronomy and astrophysics through the Catania Astrophysical Observatory. For almost 100 years, the observatory has been continuously tracking the activity of the sun, providing priceless research that continues to this day.

Catania itself is a port city that was formerly the capital of Sicily. It sits to the south of Mount Etna, the tallest active volcano in Europe. It’s possible to take one of the walking trails that lead out of Catania all the way to the summit of Mount Etna.

While in Catania, it’s also advisable to take advantage of the city’s famous street food scene and sample some local specialities, all washed down with a glass of the region’s zibibbo wine."
University of Denver,501–600,United States,"The University of Denver (DU) was founded in 1864 and is almost as old as the city of Denver itself. This private institution is home to around 11,000 students.The university was founded as Colorado Seminary by the territory’s then-governor John Evans, with the backing of the Methodist Church, and became the University of Denver in 1880. While the university prides itself on its Methodist principals, it has explicitly stated since its founding that it accepts students of all religions.DU’s College of Business is one of the oldest in the United States, dating back to 1908.A broad spectrum of studies is available at DU, with over 100 undergraduate programmes and 120 graduate programmes.Experiential learning has a high profile at DU. Students are encouraged to take on community projects, research and internships, and many choose to study abroadDU’s athletes, known as Pioneers, have had greater success in skiing than any other university. The university also has an excellent reputation in ice hockey and lacrosse, and plays in 16 different sports in total.The 125 acre campus sits a few miles south of downtown Denver in a quiet residential neighbourhood. The city can be accessed in minutes by light rail, or students can stay on campus to enjoy its extensive library, recreation centre and tree-lined green spaces. More than 400 performances take place on campus each year.Notable alumni from UD include major political and business figures such as former US secretary of state Condoleezza Rice, Home Depot CEO Carol Tomé and Coors Brewery chairman Peter Coors."
University of Ferrara,501–600,Italy,"The University of Ferrara (Unife) is steeped in history having been founded in 1391, making it one of the oldest universities in the world. The first courses on offer were linked to the arts, theology and law and were taught by renowned professionals of the time, such as Bartolomeo Saliceto, an expert among jurists.

A mix of the Middle Ages and Renaissance architecture, Unife offers a unique historical environment surrounded by palaces, houses, churches and museums. Located on the Po river, the campus is just 30 minutes by train from Bologna and one hour from Venice.

With a large student population, the city revolves around the university. Ferrara is a cyclist- and pedestrian-friendly sustainable town where students can experience a high quality of life, and take advantage of all the town has to offer.

Surrounded by more than six miles of walls, Ferrara feels like a charming, small fortress. Wide streets, Renaissance palaces, moats, and bastions add to its charming mystique.

Unife offers a broad range of BA and MA degrees and PhDs in the sciences and the humanities. Some facilities are located inside modern buildings, including the Chemistry/Biomedical Centre, whereas others are located in prestigious artistic and historical buildings.

Unife has several hundred international links, with its strongest being those with European and Latin American Universities.

Ferrara's museums, exhibitions, festivals, and theatre reflect its rich artistic, musical, and cultural heritage, which continues to grow making it an ideal location for students.

Notable alumni include Massimo Pigliucci, former editor in chief for the online magazine Scientia Salon, Marcella Hazan, an Italian-born cooking writer and Guido Barbujani, an Italian population geneticist, evolutionist and literary author."
University of Graz,501–600,Austria,"Founded in 1585, the University of Graz is the second oldest university in Austria as well as being one of its largest.

Numerous successful scientists, Nobel Laureates among them, have begun their careers at the university, including the physicist and philosopher Ludwig Boltzmann, who was twice a professor at the university twice where he developed his statistical theory on heat, and Alfred Wegener who developed the theory of continental drift.

From archaeology to experimental physics, the university today offers over 120 programmes across its six faculties. Its newest faculty, of Environmental and Regional Sciences and Education, opened in 2007 and although the university once comprised its own medical institution, the Medical University Graz (as it’s now called) became an independent entity in 2004.

Around 12% of the university’s 31,500 students are international, and the university is heavily involved in international mobility programmes. Graz currently offers a range of study and research opportunities with around 500 partner organisations around the globe.

Courses at Graz are taught mainly in German and students are expected to have a level of proficiency in the language. The university does run a doctoral programme in Natural Sciences though, which is offered in English.

Located in the southeast of the country, Graz is home to a total of six universities and the city is predominantly considered to be a ‘university town’, where every sixth resident is said to be a student.

As a historic, well-preserved city that features a wide variety of architectural styles, Graz has been awarded UNESCO World Heritage status. It is also located close to the nearby cities of Vienna and Salzburg, and close to Croatia, Switzerland and the Czech Republic.

In 2003, Graz was designated a European Capital of Culture."
University of Haifa,501–600,Israel,"The University of Haifa as it is known today was established in 1972, after gaining independence from the Hebrew University of Jerusalem, making it the sixth academic institute in Israel as well as its fourth university.

It sits atop Mount Carmel where the south of the city edges onto Israel’s Carmel National Park, in what is considered one of the most beautiful parts of the country, boasting panoramic views of the Mediterranean and vast swathes of greenery.

The university motto is: ‘Academic excellence with a personal touch.’

Home to 18,000 students, Haifa prides itself on the rich diversity of its student body and welcomes international students from around the world, as well as domestic students from Jewish, Muslim, Christian, Baha’i, Druze, Bedouin and other backgrounds. Its ‘cultural mosaic’, as the university calls it, is symbolic of one of its key aims, to encourage mutual understanding between the different identities that co-exist in Israel.

Organised across seven faculties – Humanities, Social Sciences, Life Sciences, Law, Social Welfare and Health, Education and Management – its main areas of specialism are in social sciences, humanities, law and education.

Its research spans a wide variety of subjects and fields, among them, the study of psychological stress, information processing and decision-making, evolution, the Holocaust, maritime studies, natural and environmental resources, shipping and aviation, and the family. While its research facilities include The Jewish-Arab Centre, the Herzl Institute for the Study of Zionism and Israel, the Study of Pilgrimage, Tourism and Recreation, the Interdisciplinary Centre for the Study of Emotions and the Centre for Democratic Studies.

Haifa also has its own diving facility known as the Caesarea that supports the Israeli Antiquities Authority as well as the Leon H. Charney School of Marine Sciences, which focuses on the study of the Mediterranean, marine biology, geosciences, and maritime civilisations."
University of Huddersfield,501–600,United Kingdom,"Founded in 1825, the University of Huddersfield – originally the Huddersfield Scientific and Mechanic Institute – has a longstanding tradition of providing vocational education.

Today, with student numbers at nearly 20,000 from 130 countries, the university continues to emphasise professional experience alongside academic study, with all undergraduate students given the opportunity to undertake professional work-related experience during their studies.  Students also have the chance to complete the Global Professional Award alongside their undergraduate degree and receive a recognised management qualification from the CMI.

The university is recognised as a centre of teaching excellence: staff rank in the top three in England for the proportion who hold doctorates, who have higher degrees, and hold teaching qualifications (HESA 2022). In 2017, the university won the first Global Teaching Excellence Award in recognition of a commitment to world-class teaching (Higher Education Academy). Huddersfield is joint first in the country for National Teaching Fellowships, which mark the UK’s best lecturers in Higher Education, winning a total of 20 since 2008.  100% of permanent teaching staff are Fellows of the Higher Education Academy.

It recently opened the £30m Barbara Hepworth building for art, design and architecture students. A new multi-million pound National Health Innovation Campus will open in Autumn 2024.

Alumni of the university include the politician Lord David Blunkett, who served as Education & Employment Secretary, Home Secretary, and Work & Pensions Secretary at various times in the UK Government,BBC Breakfastpresenter Sally Nugent, the actor Rob James-Collier who played Thomas Barrow inDownton Abbey, Adil Ray OBE, who co-writes and stars inCitizen Khanand Sir George Buckley, former chairman, president and chief executive of 3M and Chancellor of the University."
University of Hull,501–600,United Kingdom,"The University of Hull is an inspiring place – a place where students flourish, where research and innovation thrives and where unwritten futures become unlimited possibilities.We’ve been making history for a hundred years - exploring new and better ways to live and learn for the benefit of our shared future.Our academics are tackling the big challenges facing humanity, their forward-thinking research-led approach inspires everything our students learn.Gold rated in the Teaching Excellence Framework, our student experience and outcomes are judged to be typically outstanding. Over two-thirds of our teaching staff have credentials of excellence in teaching and educational leadership. Our programmes are current, coherent, rigorous and academically excellent and we have adopted authentic and inclusive assessment practices.

Our cityHull is full of surprises, hidden gems around every corner, vibrant events and buzzing locations. It’s a place like nowhere else, a place where change is made, where unconventionally brilliant minds join forces to beat the odds. Hull embodies a special brand of Northern friendliness. We call it Hullness. It’s something we inspire and instill in you, so you can take it with you wherever you go. Our students fall in love with our city.

Our campusWhen you step on to our campus, you’ll know this is where you’re meant to be. Everything you need to live, study, and socialise is here, all within a 10-minute walk. We are one of the oldest universities in the country, home to 1,000 plus trees, ivy-clad buildings and rose-covered lawns alongside up to the minute facilities, super modern structures of steel and glass and virtual learning environments to support first-of-their-kind courses.Our seven-storey library is a superb learning space with more than 400 open access PCs and over a million books and journals. There’s a 12-court sports hall, 120-station gym, dance studios, strength and conditioning suite, and floodlit 3G pitches, all on campus. Middleton Hall is a world-class concert venue, complete with industry-standard recording studios and rehearsal spaces plus the region’s best digital cinema. Take in a film or a gig in our on-campus nightclub or unwind in our cafés and bars.Beyond Hull our London Study Centre gives students the chance to immerse themselves in the professional hub of the capital. Located in Bloomsbury, the Study Centre welcomes students across a range of masters programmes in areas such as business management, logistics and supply chain management, digital marketing and advertising.

We’re making a difference:We’re research leaders in renewable energy, flood resilience, palliative and wound care, mental health and addiction, social justice, and the fight against modern slavery. Our research is helping students build successful careers in growth sectors like AI, flood risk management, social justice and renewable energy.We’re helping to build the largest wind farms in the world, shaping UK national flood policy and investment, helping to protect hundreds of thousands of homes.And we’re advising the UK Government on tackling exploitation and, through the Humber Modern Slavery Partnership, we are working with our partners and regional police forces to protect human rights. Together, we’re helping to prevent organised crime gangs from exploiting people and bringing the perpetrators of modern slavery to justice.Our campus is now home to the Centre of Excellence for Data Science, Artificial Intelligence, and Modelling (DAIM). DAIM takes a multi-faceted approach to the biggest technological opportunity and challenge of our age: how to responsibly harness AI for the benefit of humanity.

Leading with purpose:We’re making sure our research delivers measurable benefits for our communities, locally and globally.

International

Our student body is inclusive representing over 100 nations. We are a University of Sanctuary and have been offering study opportunities to those seeking asylum since 2018.

We have a long history of global collaboration and partnership, in our teaching, research and student exchanges.

We collaborate with partner universities around the world in research projects, sharing ideas on teaching, promoting opportunity for our students, and ensuring that the global challenges of our time are solved by great minds from around the world."
University of Iceland,501–600,Iceland,"The University of Iceland was founded in 1911 in honour of the 19th-century statesman Jón Sigurðsson, and is the oldest and largest institution of its kind in the country.

In its first academic year the university enrolled just 45 students, and for the first three decades, the institution was based at Parliament House in Austurvöllur.

Today, the University of Iceland has expanded its cohort to almost 14,000 – 65 per cent of whom are women, with almost 8 per cent international – and now has its base at  Suðurgata, where it offers a variety of study programmes at undergraduate, graduate and doctoral level. It has 728 academic staff based at five academic schools in the fields of education, engineering and natural sciences, health sciences, humanities and social sciences.

The University of Iceland is a state-run university based in the centre of the capital, Reykjavík, on the nation’s south-west coast, where the National and Saga museums dedicated to its Viking heritage are based.

It has around 60 research institutes and runs seven rural research stations including the Institute of Earth Sciences and Nordic Volcanological Centre, and the VigdísFinnbogadóttirInstitute of Foreign Languages.

The University of Iceland also prides itself on taking a leading role in sustainable energy and environmental research. Some of its research resources are unique to Iceland, including important climatological and geothermal records, and censuses dating back to the 16th century, which are kept at the Árni Magnússon Institute for Icelandic Studies.

Notable University of Iceland alumni include the film producer Sigurjón Sighvatsson and writer Einar Pálsson."
University of International Business and Economics,501–600,China,"The University of International Business and Economics (UIBE), founded in 1951, is a national key university with expertise in disciplines such as economics, management science, science of law, and literature. UIBE is one of the ""Project 211"" universities, a governmental program that aims to transform select Chinese universities into high-quality 21st century academic institutions. In addition, UIBE participates in the “Double First-Class” Initiative, a governmental program which aims to ultimately build a number of world-class universities with state-of-the art disciplines by the end of 2050. Since its inception, UIBE has been steadfast in living up to its motto of “Erudition, Honesty, Endeavor and Perfection” through continual diligence and innovation. Overall, UIBE sustains its educational commitment to “cultivate high-end innovative talents with an international vision, a good knowledge of international rules, and leadership in global economic and trade activities"".

Currently, UIBE has 18 academic schools, 10 research institutes, one graduate school, and one department of physical education. The university offers over 1835 undergraduate courses, 1193 postgraduate courses, and 264 doctoral courses. UIBE participates in two national key disciplines, seven Beijing municipal key disciplines, one key research institute of humanities and social science, one center for strategic studies of the Ministry of Education, and one overseas expertise introduction center for discipline innovation (111 Center). UIBE Business School is accredited by EQUIS, AACSB and AMBA. It became the fifth university in China to receive all three accreditations. In addition, UIBE Business Administration and Financial Management is accredited by NCPA.

UIBE attaches great importance in cooperation with universities around the world. Currently, UIBE has established partnerships with at least 300 overseas universities and international organizations. Furthermore, UIBE has 2467 international students from over 160 countries that account for 20% of the university’s total number of students.

UIBE is committed to cultivating educational excellence for the country and is recognized as the training base for highly qualified civil servants that work for the Ministry of Commerce, P.R. China. UIBE graduates are well-received owning to solid professional knowledge and technical abilities, proficient English, active thinking, and strong practical ability. Every year, more than one third of graduating students are accepted and enrolled in graduate and doctoral programs by famous overseas universities. The ratio of students accepted for further study overseas is among the highest in the country. Graduates of UIBE can be found at every corner of the world in fields such as international trade, finance, accounting, education and research as well as China’s State organizations and commercial agencies. UIBE graduates play an important role in the economic and social development of China and in the exchange and development of the economy, trade and other undertakings among countries."
University of KwaZulu-Natal,501–600,South Africa,"The University KwaZulu-Natal in Durban, eastern South Africa, was formed in 2004 following a merger of the University of Durban-Westville and the University of Natal, the first institutions to merge after government legislation aimed at reducing the number of South African universities.

A five-campus university, it has links with more than 250 institutions globally.

With famous beaches lining its long Indian Ocean waterfront, the city of Durban - the second largest city in South Africa - undoubtedly has something of an Asian feel, with much of its music and cuisine Indian-influenced. The Pietermaritzburg campus is the only one that is not located near to the seafront."
University of Limerick,501–600,Ireland,"University of Limerick is a research-led, energetic and enterprising institution with a proud record of innovation and excellence in education and scholarship. We value creativity, curiosity and excellence in our inclusive community which is committed to social good. Our motto Eagna chun Gnímh translates as Wisdom for Action reflecting our mission to contribute to the discovery of new knowledge for a better world.

Stay Curious

Renowned for providing an outstanding student experience and conducting leading edge research, we are the academic home to more than 18,200 students. UL has an exemplary record in attracting world-leading researchers with success in national and EU programmes. We encourage all to stay curious throughout their studies, as curiosity leads to impact and global change.

Tackling global challenges

We are committed to creating and implementing a holistic approach to sustainable development, in partnership with the communities we serve, locally and regionally and through our national and international alliances. Our aim is to enable our students, graduates and staff to be ‘active citizens’ who contribute to the well-being and future of our planet.

Network of Excellence

We have a truly international reach through our network of over 4,013 research collaborations across 130 countries and an Alumni of 120,000 worldwide.

Twenty percent of the University student body are international students from 100+ countries and 30% of the student population take part in international placements.

Awards and Accolades

Silver Athena Swan Institution Award

QS World Rankings: Top 500 and 5-Star Status.

Times Higher Education World University Rankings: 501-600.

Times Higher Education Impact Rankings: 76.

Times Higher Education World University Rankings – Young: 72nd place.

GreenMetric: 22nd in the world.

QS Graduate Employability Rankings: Top 200

Top 75 Universities in Europe for Excellence in Teaching and Learning

The Education Awards – 1st for Excellence, 1st Best Student Campus, 1st Student Engagement & Communications

THE Impact Rankings

University of Limerick # 61

Triple Crown

The Kemmy Business School at University of Limerick is Triple Crown accredited and among the top 1% in the world with accreditation awards from the prestigious EFMD Global quality system (EQUIS) which includes the Association to Advance Collegiate Schools of Business (AACSB) and the Association of MBAs (AMBA)."
