name,url,rank,region,country,description
Oklahoma State University ,https://www.topuniversities.com/universities/oklahoma-state-university,882,North America,United States,"Founded in 1890, Oklahoma State University is located in Stillwater, Oklahoma, in the very heart of the United States and is the is the flagship land-grant institution of Oklahoma with a world-wide reach.

At Oklahoma State University, you can learn and work side-by-side with renowned faculty and experts in your field as the university continues to invest in teaching and research which creates an educational experience that is intellectually challenging and has practical value far beyond the classroom.

And with more than 200 degree programs to choose from across nine schools and colleges, there’s a wide scope of innovative academic opportunities!

Outstanding recognition

Oklahoma State University has been recognized by The Wall Street Journal as a top 45 school whose graduates rank highest with recruiters. It has also been named a 2017 Best College Value by Kiplinger's Personal Finance for the 14th time since 2000, and has ranked among the top 75 Best Values in Public Colleges for providing an outstanding education at a great price. The College of Engineering, Architecture and Technology (CEAT) at the university is ranked among the top 50 public university engineering programs by U.S. News and World Report, and its architecture program is ranked among the nation's top 20 by DesignIntelligence.

The perfect place to call your home away from home

Oklahoma boasts more than just a world-class university. Having ranked in the Top 100 Best Places to Live in the US, taking 10th place in the Happiest Colleges in America in 2018 and voted the Most Beautiful Campus in Oklahoma in 2018 according to Southern Living, it really is the perfect place to call your home away from home.

It should also come as no surprise that students from more than 100 countries and every region of the world call Oklahoma State University home for their undergraduate studies. The Stillwater Regional Airport is located less than 10 minutes from campus and connects you to more than 200 destinations worldwide."
Prince of Songkla University,https://www.topuniversities.com/universities/prince-songkla-university,883,Asia,Thailand,"Prince of Songkla University (PSU), established in 1967 as the first university in southern Thailand, consists of five campuses offering various programs of education consistent with the needs of their communities. Moreover, PSU also comprises 30 faculties, two hospitals, and more than 40 excellence and research centers, all committed to academic excellence, strong social responsibility, and active engagement in community services. The central aims of the university are to raise general education standards and support regional industry and development. Moreover, the university aims to establish excellence in research and teaching, to provide academic services to communities, and to take an active role in the preservation of national heritage in arts and culture, especially for those from southern Thailand. Therefore, as a leading research university in Asia, PSU has contributed significantly to the development of the country and consistently turned out well-qualified graduates of high professional standing.PSU vision :: Prince of Songkla University is a leading research university in Asia, fulfilling its inspiration of producing internationally recognized graduates, actively engaging in providing services to community, taking a leading role in the preservation and enhancement of national heritage in arts and culture"
Sechenov University,https://www.topuniversities.com/universities/sechenov-university,884,Europe,Russia,"Sechenov University is the largest research medical school in Russia. It offers undergraduate and postgraduate courses taught in English and Russian in all areas of medicine, biology and biotechnology, including bachelor’s degrees, specialist degrees, master’s programs, clinical residency programs, PhD programs and CME courses. Sechenov University concentrates global talent, knowledge and technologies in Life Sciences. The target model drives its sustainable transformation to a world-class University, with balanced focus on multidisciplinary education, research and partnership with industry.

Research is carried out across eight research institutes:"
Tokyo University of Agriculture and Technology ,https://www.topuniversities.com/universities/tokyo-university-agriculture-technology,885,Asia,Japan,"Tokyo University of Agriculture and Technology, established in 1877, was founded on the Naito-Shinjuku Branch Office of the Industrial Encouragement Department, Ministry of Home Affairs. The university was inaugurated in May 1949 as a national university in compliance with the National University Establishment Law following the integration of Tokyo College of Agriculture and Forestry and Tokyo Textile College. At the time of its inauguration, there were three divisions in the Faculty of Agriculture and also three divisions in the Faculty of Technology. Tokyo University of Agriculture and Technology has a history of more than 130 years, originated with the Naito-Shinjuku Branch Office of the Industrial Encouragement Department, Ministry of Home Affairs, established in 1874. In May 1949, Tokyo University of Agriculture and Technology was inaugurated as a National University. by the integration of Tokyo college of Agriculture and Forestry and Tokyo Textile college."
UNIVERSITY OF GDANSK,https://www.topuniversities.com/universities/university-gdansk,886,Europe,Poland,"The University offers a wide range of forms of education. Some of these are interdisciplinary, and several can be undertaken in cooperation with other academic centres in Poland and abroad (including MOST and ERASMUS student exchanges). Our programmes are directed to a wide range of potential students, irrespective of age, profession, place of residence, or previous education, in accordance with the principle of lifelong learning. The University of Gdansk provides education in 78 fields of study, comprising 223 specializations, full-time and part-time studies, at the level of undergraduate (3-years) and master degree ( additional 2 years), or within comprehensive (long cycle) five-year master’s programmes. The syllabuses in the majority of new fields have a general educational or practical orientation, and they are devised in cooperation with experts and those with practical experience in specific areas. In this the University draws on the knowledge and experience of employers. Every year new fields of study are developed, and every effort is made to adapt our educational offer to the needs of the job market and the challenges facing 21st-century society. The syllabuses in the majority of new fields have a general educational or practical orientation, and they are devised in cooperation with experts and those with practical experience in specific areas. In this the University draws on the knowledge and experience of employers. The latest suggested fields of study at the University of Gdansk include Genetics and Experimental Biology, Protection of Natural Resources, Work and Business Psychology, Mathematical Modelling and Data Analysis, Chemical Business; Diplomacy; Eastern Studies; Balkan Studies; Law in Administration and Economics; Chinese Studies; Iberian Studies; Neurobiopsychology; Language, Culture and Economy of Finland; Application of Informatics in Business, and Taxes and Tax Advisory Services. The University of Gdansk has also been expanding its range of courses conducted in English, with such study options as International Business, European Business Administration, Financial Analyst, Cultural Communication, Intercultural and Business Relations in Europe."
Universidad Anáhuac México,https://www.topuniversities.com/universities/universidad-anahuac-mexico,887,Latin America,Mexico,"With more than 60 years of experience, we in theUniversidad Anáhuac Méxicopursue the development of integral people, with an entrepreneurial, innovative and globalized vision, that transcend through their commitment with others, transforming the society in a positive way.Universidad Anáhuac México is in the top 3 places of de QS ranking for México. We pursue the development of integral people, with an entrepreneurial vision, innovative and globalized, that transcend because of their commitment with others, transforming the society in a positive way.

With two campuses, the main one at the west edge of Mexico City and another at the southernmost part of it, we offer 45 Bachelor degrees, 16 doctoral programs, 53 masters and various Certificate Diplomas, Workshops and Courses. The academic disciplines core of our programs are Health sciences, Legal and Social sciences, Communication, Architecture, Design and Arts, Engineering, Business and Tourism.

Our educational model, with a competence-based approach, helps in the comprehensive development of professional training, human and social education and the intellectual and spiritual upbringing of our students. The person is the core of our educational model, that with an innovative approach, endorses the student´s formative process with tools and items that help develop their ability to learn how to learn, to solve problems and to develop ideas and projects, all so they can have a successful integration to the working force of today.All of our programs are designed to provide answers for today´s urges and the future demands, relying on state of the art educational contents. Our faculty members, all of which have excellent academic studies and relevant professional experience, guide the students in their continuous training throughout the course of their studies.Our alumni may live a unique college life, complementing and personalizing your education with a broad offer of art workshops, sports, voluntary service, leadership programs and student societies, all which will catapult your full scope and enrich your training to grasp tomorrow´s world.By doing all of these, the alumni at Universidad Anáhuac México yield prime academic and human preparation that will help them to steer their life and their professional practice upon the search of the common good, so they can find an authentic personal and professional fulfillment."
Universidad Nacional de Córdoba - UNC,https://www.topuniversities.com/universities/universidad-nacional-de-cordoba-unc,888,Latin America,Argentina,
Universidade de Vigo,https://www.topuniversities.com/universities/universidade-de-vigo,889,Europe,Spain,"Founded in 1989, theUniversidade de Vigois a young, modern and public
university that has been forging, in recent years, an impressive reputation,
both nationally and internationally.

Spread across three campuses in southern Galicia, in the cities of Vigo,
Ourense and Pontevedra, it aims at excellence in education and research and
provides the ideal learning environment for its around 20.000 students.

Universidade de Vigo places internationalization at the very centre of
its strategy. It has excellent connections to many foreign universities and
provides local and international students and staff with a great number ofexchange programs. International students can choose their stay
at Universidade de Vigo according to their preferences:full-degree, exchange or visiting students.

It offers a wide range of Bachelor’s and Master’s programs as well as
PhD courses in all areas of knowledge that include a large selection of
subjects held in English. In addition, Bachelor's Degree in Telecommunication
Technologies Engineering and Bachelor’s Degree in Industrial Technologies
Engineering are almost entirely taught in English.

Universidade de Vigois also renowned for its international research
centres with more than 1,900 researchers currently working in them. There are
four major research centres focusing on Marine Research, IT and Communications,
Technologies, Energy and Industrial Processes and Biomedical Research.

The University also leads Campus do Mar, an International Excellence
Programme awarded by the Spanish Ministry for Education, bringing together
socio-economic agents and around 3,000 researchers in the marine field from the
Galicia-Northern Portugal Euroregion.

In 2022, it attracted around 32 million euros in funding for its
research programmes and the three campuses feature no less than 30 research and
training centres as well as sports and leisure facilities and an ongoing
programme of cultural events.

Universidade de Vigo prides itself on deeply held, positive values,
based on transparency and good management, integration, equality, diversity and
respect for the environment.

Universidade de Vigo has been widely recognised in numerous national and
international ranking systems, including the prestigious CWTS Leiden Ranking
which rates universities around the world based on the number of academic
papers published as well as scientific and industry collaborations. The
University now ranks high in the Academic Ranking of World Universities (ARWU)
regarding Food Science and Technology as well as Oceanography, and Telecommunications
Engineering.

In 2023, Universidade de Vigo has been ranked the most transparent
Spanish university in the Dynamic Transparency Index (Dyntra) for embracing
values of transparency. It is also worth mentioning that its societal impact
has been highly considered by Times Higher Education based on the UN’s
Sustainable Development Goals framework, standing out in relation to SDG 4
(quality education),  SDG 7 (affordable and clean
energy) and  SDG 9 (industry, innovation and infrastructure).

Campus locations

Universidade de Vigo is located in the south of Galicia, in the
Northwest of Spain. Galicia has a population of approximately 2,700,000
inhabitants and borders Portugal to the south. We enjoy our own language and
culture. You will love to get to know Galicia!

Our university has three campuses in Ourense, Pontevedra and Vigo.

Ourense Campusis about 95 km to the East of Vigo.
Schools and faculties are integrated in the city, where everything is close and
you can move around on foot.Location

Pontevedra Campusis about 30 km to the North of
Vigo. The main campus is on the outskirts of the city, but well connected, a
12-minute walk from the city centre.Location

Vigo Campusis the main campus of the
university. It is located about 12 km from the city and has many buildings made
by famous architects. Besides, there are two schools downtown. Located in the
centre of the Ría de Vigo, Vigo is the largest city in Galicia with 300,000
inhabitants.Location"
Universiti Pendidikan Sultan Idris (UPSI),https://www.topuniversities.com/universities/universiti-pendidikan-sultan-idris-upsi,890,Asia,Malaysia,.
University Duesseldorf,https://www.topuniversities.com/universities/university-duesseldorf,891,Europe,Germany,
"University of Colorado, Denver",https://www.topuniversities.com/universities/university-colorado-denver,892,North America,United States,"Ranked the 45th best university in the world for nursing, and among the top 150 for medicine in the QS World University Rankings by Subject 2017, the University of Colorado Denver is a large, diverse, inclusive university that benefits from a vibrant alumni community of over 85,000 members.

In addition to the 900 highly sought-after internships it awards to deserving students, the University of Colorado Denver also boasts a large proportion of international students. 57% of the university’s new freshmen are students of color, while as many as 66 different nationalities are represented on campus."
University of Dubai,https://www.topuniversities.com/universities/university-dubai,893,Asia,United Arab Emirates,"The University of Dubai (UD) was established in 1997 by Dubai Chamber of Commerce & Industry. The main idea was to establish an academic institution that will serve the business community in delivering the highest quality educational programs for human capital development and undertake research and consultancy for business in Dubai/UAE>

This commitment led UD to take strategic initiatives to enhance the pedagogical capabilities at the university by recruiting highly qualified faculty and benchmarking its curricula with accredited international universities. This has enabled UD to produce high caliber graduates for industry which is one of UD's missions.

UD is a student-centric institution and thus is sensitive to students' concerns for their all-round career development. UD has three colleges including the Dubai Business School (DBS), College of Engineering and Information Technology (CEIT), and the College of Law (CoL).

DBS offers Bachelor, Master's and PhD programs. All programs offered by DBS are internationally accredited by AACSB (Association to Advance Collegiate Schools of Business) which is the gold standard for quality management education globally.

CEIT offers a Bachelor of Science in Electrical Engineering (with two concentrations: Communication Engineering, and Power and Energy Engineering), Bachelor of Science in Computing and Information Systems (Concentration in Information Systems Security) accredited by ABET, a Master of Science in Data Science and as of 2023 a Master of Science in Electrical Engineering and Master of Science in Cyber Security.

Our CoL offers two unique concentrations for the Master of Laws programs: one in Arbitration and Dispute Resolution and one in Financial Crimes and Money Laundering. Starting in Fall 2023 we are also excited to add a Bachelor in Law in collaboration with the University of London.

One of the additional strengths of UD is to provide continuing education opportunities for lifelong learning. These are delivered by our Center for Executive Development through both professional development certificate and diploma programs along with customized training programs."
University of Ghana,https://www.topuniversities.com/universities/university-ghana,894,Africa,Ghana,"The University of Ghana, the oldest and largest of the six public universities in Ghana, began in 1948 as an affiliate College of the University of London and in 1961, was granted degree-awarding status by an Act of Parliament. With a mission to develop world-class human resources to meet global development challenges, the University offers unique courses in the arts, business, physical and biological sciences, law, agriculture, nuclear and allied sciences, and engineering sciences. Within our College of Health Sciences, we also offer courses in medicine, nursing, dentistry, pharmacy, and allied health sciences. At the College of Agriculture, courses are offered in crop and soil science, animal science, home science, agribusiness and agricultural economics. We continue to approve new and revised programmes and courses to enrich our curriculum. Through our research institutes and other centres of learning and research, our faculty members are involved in studies that support policy making for national development, often in collaboration with other international institutes. The University is working on encouraging more multidisciplinary research in order to address the development needs of Ghana, and at the continental and global level. There are currently a number of Ghanaian and international institutions that hold affiliation with the university."
University of Santo Tomas,https://www.topuniversities.com/universities/university-santo-tomas,895,Asia,Philippines,"UST graduates consistently and yearly dominate the top ten in courses with board exams (Medicine, Nursing, Pharmacy, Occupational Therapy, Physical Therapy, Engineering, Architecture, Accountancy, Education, etc.). This proves the University's superior academic programs. Known as the Catholic University of the Philippines, the four-century old University of Santo Tomas draws inspiration from the teachings and philosophy of St. Thomas Aquinas, the Angelic doctor and patron saint of Catholic schools.The university is the oldest in Asia, and in student population, the largest Catholic University in the world located in one campus. UST has produced national heroes, church martyrs, renowned scientists, national artists, internationally renowned business people and athletes, prominent doctors, 4 presidents of the Philippines, 3 vice presidents and 6 Chief Justices."
University of Seoul ,https://www.topuniversities.com/universities/university-seoul,896,Asia,South Korea,
University of Stavanger,https://www.topuniversities.com/universities/university-stavanger,897,Europe,Norway,
Università degli Studi della Tuscia (University of Tuscia),https://www.topuniversities.com/universities/universita-degli-studi-della-tuscia-university-tuscia,898,Europe,Italy,"TheUniversity of Tuscia- UNITUS ,founded in 1979 is   located in Viterbo (80 km North of Rome), with campuses in and around
its historical centre and two campuses located respectively in Civitavecchia
(Rome) and Rieti.

The University of Tuscia   with its   highly innovative teaching focused on sustainability,
ecological transition, renewable energy, has been recently confirmed among the
150 best young universities in the world with a student satisfaction rate among
the highest in all of Italy for: occupational skills, the excellent
professors-students ratio and technology-oriented administrative student
services.

With a   focus on combining attention
to the territory with a broad international scope,UNITUSis the perfect choice for a superb study experience
in a student –friendly city that combines typical medieval character with
modern facilities and services. The low costs of living permits many
international students to live a stunning study experience both for social and
academic life.

Courses at the university are organised intosix   divisional departmentsthat are divided into 19
bachelor’s degree courses, 21 master’s of science courses, and two single-cycle
master’s degree courses (lasting 5 years).

Circular Economy,
Forestry and Environmental Sciences and Security and Human Rights Master’s
Degree are the three Master Degrees taught completely in English; nevertheless
many of other Programmes, taught in Italian, offer adding teaching materials,
such as video lectures, books and learning materials in English in order to
support International Students.

At thislinkan overview ofDegree Programmes taught in Englishand with supporting teaching and learning materials.

Three of the six
Department at University of Tuscia have been appointed as     Departments of Excellence  (the best 180 departments of state universities) by
Italian Ministry of Education and Research.

University of
Tuscia participates at Four National Technological CLUSTERS which act as
resource catalysts to meet the needs of territory and market, coordinate and
strengthen the connection between research and businesses.

SPRING     - Italian Cluster of Green Chemistry

BIG     - Blue Italian Growth Technology Cluster,

TICHE     - Technological Innovation in Cultural Heritage.

CLAN     - National
Agrifood Cluster

University of
Tuscia also offers 7 Doctoral research (PhD) programmes with specialization in
all fields of research in domains such as Physical Sciences and Engineering,
Life Sciences, and Social Sciences and Humanities.

Find out more in
theUNITUSCourse Catalogue and join our Community

The town of Viterbo

Viterbo has ancient origins and is the largest medieval historic centre in
Europe – famous historically as the City of Popes: in the 13th century it was
the papal seat and for about 24 years the Papal Palace hosted and saw several
Popes elected.

The city is famous for the transport of the Machine of Santa Rosa, a
traditional and spectacular event that takes place every year on the evening of
September 3, in honour of the patron Saint, carried on the shoulders of a
hundred men, the Porters of Santa Rosa, through the darkened streets of the
city. In 2013 the Machine was included by UNESCO among the Intangible Human
Heritage.

Tuscia boasts an unspoiled natural environment and multiple religious,
cultural, gastronomic and archaeological attractions. It also combines mountain
landscapes (the Cimini Mountains) and enchanting stretches of coast, with wide
beaches and clean sea. Moreover Viterbo is located in a wide thermal area with number
of springs celebrated for the healing qualities of their waters, and in use
since Etruscan and Roman days."
Universität Rostock,https://www.topuniversities.com/universities/universitat-rostock,899,Europe,Germany,
Université de Franche-Comté,https://www.topuniversities.com/universities/universite-de-franche-comte,900,Europe,France,
Université du Québec,https://www.topuniversities.com/universities/universite-du-quebec,901,North America,Canada,
Verona University,https://www.topuniversities.com/universities/verona-university,902,Europe,Italy,"The University of Verona is a young, research-intensive university based in Verona, Italy – a city dubbed “the heart of the world” and known for its high living standards, idyllic settings and Shakespearean associations. The university is also proud of the high employability rate of its courses: some 82% of Master Degree's graduates found employment within a year of completing their studies.The university currently offers a range of international Master’s degree programmes entirely taught in English:Comparative European and Non-European Languages and LiteraturesEconomicsInternational Economics and Business ManagementLinguisticsMathematicsMedical BioinformaticsMolecular and Medical BiotechnologyThe University also offers courses at undergraduate level - mostly in Italian - in the areas of Economics and legal studies; Humanities; Life sciences and health sciences; Science and engineering.Surrounded by over 2,000 years of history and stunning monuments such as the medieval Castelvecchio and Verona’s antique amphitheater, the University of Verona offers a unique environment with an international outlook.The University of Verona currently hosts more than 1,300 international students coming from Countries around the world, including Romania, Albania, Moldova, Spain, Germany, Ukraine, Morocco, Russia, Serbia, Cameroon, the UK, Poland, China, India and Brazil.Fees for international (non-EU) students are very affordable, set at €1,000 per year (~US$1,180), independent of income. Scholarships are available, based on academic merit or financial need.CALL FOR APPLICATION AND SCHOLARSHIPS FOR NON-EU STUDENTS:Call for applications for pre-admission to International Master’s degree programmes at the University of Verona, for non-Eu students holding a foreign academic degree and living outside the European Union.For the academic year 2020/2021, 16 scholarships will be awarded to top candidates from non-Eu countries. Please read carefully the “Call for applications” for further information. Deadline for applications: 31 March 2020, 12.00 pm, noon (Italian time, GMT+1). Need help? Contact us at[email protected]You can find the Call for applications and further information at the following link:https://www.univr.it/it/i-nostri-servizi/avvisi/-/avviso-servizio/1890SCHOLARSHIPS & TUITION FEESThe University of Verona offers a range of scholarships to reward excellent students and/or to help those from lower income families. Scholarships are intended to cover part of the Student’s living expenses for each year of study.Scholarships funded by the University of Verona – International Master’s degrees a.y. 2020/2021Tuition fees for non-EU students.Tuition fees, taxes, reductions, benefits based on merit, and tax exemptions – Bachelor’s and Master’s degreesRegulations on student feesPart-time work for studentsOTHER FUNDING OPPORTUNITIESScholarships funded by the Italian Ministry of Foreign AffairsInvest your Talent in Italy"
VILNIUS TECH (Vilnius Gediminas Technical University),https://www.topuniversities.com/universities/vilnius-tech-vilnius-gediminas-technical-university,903,Europe,Lithuania,"The University's history dates back to1956.

VILNIUS TECH is a leading higher education institution
situated inVilnius, Lithuania.

One of the biggestresearchuniversities in the country.

Our main focus: technologies, engineering, and
university-business cooperation.

More than9,500students trust their future with us.

24%of them areinternational studentsfrom over91countries.

A reliable team of1,020academic staff members,75%of whom
hold PhD degrees.

Our partnerships with470+universities span over60+countries globally.

We share a common vision with more than300business
partners worldwide.

Proud member ofATHENAEuropean University Alliance.

11 faculties

4 research centers

12 research institutes

24 research laboratories

102 study programmes

Our vision:

VILNIUS TECH is a prestigious and international European
technical university, distinguished by the quality of studies and research, its
significant impact on the individual, the community and society.

Our mission:

VILNIUS TECH inspires and nurtures the talent – civic,
responsible, creative, and competitive personalities, able to alter and change
the environment, mobilise a vast university community, work for the advancement
of society, economy, culture, social welfare, and technology.

Our values:"
Worcester Polytechnic Institute,https://www.topuniversities.com/universities/worcester-polytechnic-institute,904,North America,United States,Worcester Polytechnic Institute
Wroclaw University of Science and Technology (Wrocław Tech),https://www.topuniversities.com/universities/wroclaw-university-science-technology-wroclaw-tech,905,Europe,Poland,"Wroclaw University of Science and Technology is an institution located in Poland and focused on research and teaching in engineering areas. The education offered by the university is strongly linked with scientific research and the needs of the economy and is consistent with standards of the European Higher Education Area.

Wroclaw University of Science and Technology rates high in the annual rankings of Polish universities and is an inheritor of the intellectual and research traditions of the Lvov Polytechnic. Since the very beginning of its existence, the university has been an important center of technical education. Today, it belongs to the best technical universities in Poland – nearly 24,000 students study here under the guidance of 2,200 academic teachers, at the 13 faculties and 3 branches in Jelenia Góra, Legnica and Wałbrzych."
Yarmouk University,https://www.topuniversities.com/universities/yarmouk-university,906,Asia,Jordan,"Yarmouk University established in 1976, is considered at the forefront of Jordanian and Middle Eastern universities. It participates in many Arab and international networks such as ( IAU, ICESCO, UNIMED, and AARU), including 16 colleges, 90 postgraduate programs, and 67 bachelor's programs, in which more than 3,500 international students from more than 51 countries around the world study, and more than 200,000 students graduated, Many of them work in academic and leadership positions in Jordan, the Arab region and the world. It includes many specialized research centers, especially in the field of women, refugees and displaced persons, and sustainability.

At Yarmouk University, we believe in providing our students with a comprehensive and challenging education that prepares them for success in a rapidly changing world. Our strategy is built on academic excellence, innovation, and student-centered learning principles. We are committed to ensuring that our students have access to the best possible resources, facilities, and faculty members who are experts in their respective fields.

Our educational strategy is centered around creating an inclusive learning environment that fosters critical thinking, intellectual curiosity, and lifelong learning. We strive to provide our students with a well-rounded education that prepares them for their chosen careers and instills in them a sense of social responsibility and civic engagement.

Our approach to education is holistic and interdisciplinary, with a focus on promoting creativity, problem-solving, and collaboration. We believe that by exposing our students to diverse perspectives and experiences, we can equip them with the skills and knowledge they need to succeed in today's complex and interconnected world, as future leaders and change-makers."
American University of Central Asia,https://www.topuniversities.com/universities/american-university-central-asia,907,Asia,Kyrgyzstan,"Founded in 1993, AUCA develops future leaders for the democratic transformation of Central Asia. The American University of Central Asia is an international, multi-disciplinary learning community in the American liberal arts tradition. Its curriculum includes the Preparatory Program (New Generation Academy), fifteen undergraduate programs, and ten graduate programs. In addition to its top-flight academic programs, AUCA is committed to freedom of expression, critical inquiry, and academic honesty. AUCA is the first university in Central Asia to offer US accredited degrees in liberal arts programs through a partnership with Bard College in the United States. In addition to Bard, AUCA maintains partnerships with a number of universities and organizations worldwide.

AUCA serves Central Asia, where young democracies are emerging in nation-states accustomed to more restrictive forms of governance. We develop the skills and the attitude of mind that foster sensitivity to the region’s rich traditions and adaptability for its democratic development. Proud of the success of our 4000 graduates, on our 25th anniversary as an independent learning community we launched a plan for academic development designed to enable our University to soar to a new level of excellence."
Baku Engineering University,https://www.topuniversities.com/universities/baku-engineering-university,908,Asia,Azerbaijan,"Baku Engineering University (BEU) was established on the 8th of November, 2016, and operates on a big Campus located in Khirdalan City, Azerbaijan as well it is one of the best public higher education institutions functions under the Ministry of Science Education of the Republic of Azerbaijan.

BEU prepares engineers on all levels of higher education, executes programs of higher and additional education in this sphere, and conducts fundamental and applied science research.

Besides, the establishment of the university aims to improve the teaching of engineering technologies and prepare highly-qualified personnel for the industry.

BEU is a partner university at the Erasmus+ program within different KA1 agreements and KA2 projects (for example PROMIG, POWER, NIZAMI, CRENG, MAGNUS, etc.), as well as BEU with its relevant departments, was involved in the preparation of HORIZON 2020 project with its EU partner universities. Besides, BEU is very active in scientific and research works in Azerbaijan. The students of BEU are participating in the different Olympiads and scientific competitions where they won 1st place and got different awards.

BEU has a lot of laboratories with modern equipment and all needed facilities, BEU also has TECHNOPARK where new start-ups and spin-offs implement their projects, etc.

For more information about the university please visit our website: www.beu.edu.az and http://iro.beu.edu.az/en/page/ADMISSION-903386.html"
Chonnam National University,https://www.topuniversities.com/universities/chonnam-national-university,909,Asia,South Korea,
"El Colegio de México, A.C.",https://www.topuniversities.com/universities/el-colegio-de-mexico-ac,910,Latin America,Mexico,"El Colegio de México specializes in teaching and research in the humanities and social sciences. This focus is reflected in the QS World University Rankings by Subject 2018, which feature the institution in two subject rankings: modern languages and sociology. Established in 1940, the college is located in Mexico City and is home to a relatively small student population of under 500. 83.5 percent of these students are from Mexico, with the rest choosing to study here from abroad.The college’s library is one of the largest academic libraries in Mexico and contains books of particular interest to anyone studying the social sciences and humanities in Latin America. The library itself takes up 30 percent of the college’s total building space."
Future University in Egypt,https://www.topuniversities.com/universities/future-university-egypt,911,Africa,Egypt,"Future University in Egyptis one of the  most promising private universities in Egypt. The FUE campus is conveniently located in the heart of New Cairo. Through excellence in teaching, research and service,Future University in Egyptstrives to provide a comprehensive, high-quality education that prepares our graduates to be future leaders. The campus provides a creative, nurturing environment where students can realize their potential while learning from a talented, highly qualified faculty.Future University in Egyptoffers a rich and rewarding educational experience."
Gazi Üniversitesi,https://www.topuniversities.com/universities/gazi-universitesi,912,Asia,Türkiye,"Gazi University, which was
founded by the directive of Gazi Mustafa Kemal Atatürk in 1926, is one of the
oldest universities in Turkey.

Gazi University played a leading role in the
foundations of Çorum Hitit University, Nevşehir Hacı Bektaş Veli University,
Kırşehir Ahi Evran University, and Kastamonu University, and shared its
knowledge and experience with them. Recently, in accordance with the law that
took effect in 18 May 2018, some faculties, schools, vocational schools, and a
graduate school, all affiliated with Gazi University, were transferred to the
newly-founded Ankara Hacı Bayram Veli University.

Gazi University has 12
faculties, 1 school, 3 vocational schools, 5 graduate schools, and more than 30
research centers, and provides service in education, medicine, dentistry,
medical sciences, sciences, engineering, architecture, technology, sports
sciences, and applied sciences.

Gazi
University Main Campus is one of the earliest educational campuses in the
Republic of Turkey.   Apart from
the main campus, Gazi University, a metropolitan university in the city of
Ankara, has campuses inEmek, Maltepe, Çankaya, Gölbaşı, Ostim,andKahramankazan.
Technopark, which was founded on Gölbaşı Campus in 2007, provides reasonably
priced and quality service for technology-based firms.

All the campuses are located within the city, so
one can easily get to our university in a short time. Being located in the
centre of the capital city, our university offers students such facilities as
accommodation, shopping, theatres, and festivals, along with a lot of other
social events. In addition, the main campus has indoor and outdoor sports
halls, basketball, volleyball, and tennis courts, a soccer field, and an
olympic swimming pool, which are at the disposal of academic staff,
administrative staff, and students.   Within an
“Accessible Campus” approach for disabled students, there are arrangements to
help activate them academically, physically, psychologically, and socially. Our
main library is open 7/24 and Gazi University stands out among the universities
in Turkey as a university that has one of the largest collections of print and
online sources.

More than 100 student-governed
clubs and societies contribute to students’ personal and social development.

We host more than 1200 international students, being
primarily from the Turkish Republics, from Caucasia, Europe, the Middle East,
Africa, America, and the Far East.

The graduates of Gazi University are given priority in
employment by the public and private sectors. Gazi University, which has taken
important roles in the growth and advancement of Turkey and in the academic and
technological development of young generations, has nationally and
internationally proved its quality in education with qualified academic staff."
Gulf University for Science and Technology,https://www.topuniversities.com/universities/gulf-university-science-technology,913,Asia,Kuwait,"Gulf University for Science and Technology (GUST)is a private university located in Kuwait. It was established in 2002, realising the educational vision of a distinguished group of Kuwaiti academics and business leaders. They set out to create a modern university which focused on the skills sought by employers within the region and beyond.

Now rapidly becoming one of the most prestigious universities in the Gulf region,GUSToffers a vibrant university community combined with modern facilities and a rich learning experience. Kuwait has a thriving economy attracting talented employees from across the globe, providing a welcoming and safe environment for GUST students to learn and thrive.

Find out moreabout life at Gulf University for Science and Technology via its social media channels, including:Facebook,Instagram,Twitter,YouTubeandSnapchat."
Huazhong Agricultural University,https://www.topuniversities.com/universities/huazhong-agricultural-university,914,Asia,China (Mainland),
Jouf University,https://www.topuniversities.com/universities/jouf-university,915,Asia,Saudi Arabia,"Jouf University is located in Jouf region in the north-western part of the Kingdom of Saudi Arabia and is currently the only university serving the region. University is striving to promote knowledge and human capital development in areas of strategic importance to Kingdom of Saudi Arabia. In the Jouf region university is providing the students with the knowledge, skills and motivation to understand and address the goals of regional development, country needs for advanced planed visions including empowering and mobilising young people. Tuition is completely free and financial support is also available for Saudi and international students.

The medium of instruction in undergraduate programs is mostly English for medical colleges including  Medical, Dentistry, Pharmacy, Nursing and Applied health sciences and engineering colleges while Arabic for other subjects like law, Islamic studies and sharia. English language support is provided at all the levels by the Languages department of university. The university is located in a large modern state of the art campus and is equipped with the latest instructional technology.

If you need more information about the university please visit the website at ju.edu.sa"
